Товарная группа.Код	Товарная группа
33	Иммуномодуляторы
34	Иммунодепрессанты
38	Секретолитики и стимуляторы моторной функции дыхательных путей
39	Противокашлевые средства
41	Стимуляторы дыхания
46	Психостимуляторы и ноотропы
48	Общетонизирующие средства и адаптогены
50	Местные анестетики
51	Опиоиды, их аналоги и антагонисты
64	Эстрогены, гестагены; их гомологи и антагонисты
66	Гормоны гипоталамуса, гипофиза, гонадотропины и антигонадотропины
67	Гормоны щитовидной железы и их антагонисты (включая антитиреоидные средства)
73	Противорвотные средства
87	Сердечные гликозиды и негликозидные кардиотонические средства
108	Макро- и микроэлементы
117	Регуляторы водно-электролитного баланса и КЩС
130	Местнораздражающие средства
159	Адрено- и симпатомиметики (альфа-, бета-)
161	Бета-адреномиметики
165	Бета-адренолитики
168	м-Холинолитики
171	Антиагреганты
172	Антикоагулянты
173	Коагулянты (в том числе факторы свертывания крови), гемостатики
176	Стимуляторы гемопоэза
177	Ингибиторы фибринолиза
178	Андрогены, антиандрогены
182	Н_1-антигистаминные средства
184	Стабилизаторы мембран тучных клеток
189	Дофаминомиметики
191	Ферменты и антиферменты
196	Антигипоксанты и антиоксиданты
197	Белки и аминокислоты
198	Витамины и витаминоподобные средства
205	Детоксицирующие средства
206	Средства, препятствующие образованию и способствующие растворению конкрементов
209	Антидепрессанты
210	Средства, влияющие на нейромышечную передачу (в том числе н-холинолитики)
211	Ненаркотические анальгетики, включая нестероидные противовоспалительные средства
213	Ангиопротекторы и корректоры микроциркуляции
215	Блокаторы кальциевых каналов
216	Вазодилататоры
218	Корректоры мозгового кровообращения
222	Гепатопротекторы
223	Желчегонные средства и препараты желчи
224	Запирающие средства
225	Регуляторы аппетита
227	Антациды
231	Слабительные средства
234	Антиконгестанты
236	Диуретики
238	Средства, влияющие на обмен веществ в предстательной железе
239	Токолитики
242	Дерматотропные средства
243	Спазмолитики миотропные
247	Антисептики и дезинфицирующие средства
249	Противоглистные средства
250	Противогрибковые средства
251	Противопаразитарные средства
253	Аминогликозиды
259	Макролиды и азалиды
279	Средства для коррекции нарушений при алкоголизме, токсико- и наркоманиях
280	Средства для энтерального и парентерального питания
289	Антиконвульсанты
293	Противомикробные средства в комбинациях
295	Средства, нормализующие микрофлору кишечника
296	Гомеопатические средства
301	Другие метаболики
320	Биологически активные пищевые добавки
