Дата продажи	Товар.Код	Отдел.Код	Час покупки	Количество	Сумма
01.12.2008	477	1	11	1	4,45
01.12.2008	477	1	17	2	8,89
01.12.2008	485	1	11	1	4,56
01.12.2008	1813	1	15	1	54,17
01.12.2008	2206	1	14	1	11,58
01.12.2008	2290	1	16	1	179,38
01.12.2008	3381	1	15	1	98,08
01.12.2008	4138	1	15	1	78,74
01.12.2008	6100	1	10	2	116,73
01.12.2008	10208	1	10	1	6,65
01.12.2008	10208	1	11	2	13,3
01.12.2008	10453	1	19	1	115,6
01.12.2008	10456	1	15	1	44,79
01.12.2008	11827	1	11	1	22,91
01.12.2008	16534	1	9	2	31,24
01.12.2008	16534	1	10	4	62,48
01.12.2008	16534	1	11	2	31,24
01.12.2008	16534	1	12	2	31,24
01.12.2008	16534	1	14	2	31,24
01.12.2008	16534	1	15	3	46,86
01.12.2008	16534	1	16	11	171,81
01.12.2008	16534	1	17	11	171,81
01.12.2008	16534	1	18	5	78,1
01.12.2008	16534	1	19	3	46,86
01.12.2008	16560	1	18	2	14,62
01.12.2008	18333	1	10	1	10,35
01.12.2008	18333	1	11	2	20,71
01.12.2008	20852	1	12	2	86,35
01.12.2008	22851	1	16	2	22,54
01.12.2008	28092	1	18	1	139,87
01.12.2008	31164	1	18	1	92,39
01.12.2008	32055	1	16	1	8,31
01.12.2008	32585	1	11	1	11,27
01.12.2008	33449	1	16	1	9,48
01.12.2008	35496	1	10	1	32,72
01.12.2008	35496	1	17	1	32,72
01.12.2008	35694	1	16	1	122,75
01.12.2008	36509	1	11	1	14,49
01.12.2008	36509	1	12	1	14,49
01.12.2008	36509	1	14	2	28,98
01.12.2008	36509	1	15	1	14,49
01.12.2008	36509	1	16	1	14,49
01.12.2008	36509	1	18	2	28,98
01.12.2008	37835	1	17	2	232,05
01.12.2008	38164	1	10	1	16,59
01.12.2008	38222	1	9	1	113,16
01.12.2008	43699	1	14	1	12,75
01.12.2008	46207	1	16	1	49,88
01.12.2008	47027	1	9	1	101,36
01.12.2008	52126	1	20	1	275,91
01.12.2008	52754	1	18	1	23,32
01.12.2008	54419	1	11	1	47,54
01.12.2008	58096	1	18	1	24,94
01.12.2008	61224	1	17	1	43,27
01.12.2008	61816	1	11	1	132,68
01.12.2008	63785	1	20	1	314,55
01.12.2008	68036	1	19	2	269,02
01.12.2008	68776	1	19	1	183,28
01.12.2008	71254	1	16	1	113,41
01.12.2008	71434	1	15	1	232,24
01.12.2008	71434	1	18	1	232,24
01.12.2008	76550	1	15	1	12,25
01.12.2008	82154	1	10	10	491,4
01.12.2008	82231	1	18	1	35,37
01.12.2008	82260	1	17	3	44,34
01.12.2008	82545	1	19	2	556,76
01.12.2008	82849	1	19	2	54,64
01.12.2008	83052	1	19	1	21,02
01.12.2008	83122	1	15	1	59,53
01.12.2008	83216	1	13	1	18,19
01.12.2008	83216	1	16	1	18,19
01.12.2008	83246	1	12	1	282,75
01.12.2008	83246	1	18	2	565,5
01.12.2008	83251	1	18	1	32,08
01.12.2008	83282	1	12	1	33,79
01.12.2008	83436	1	16	1	159,67
01.12.2008	83494	1	10	1	5,17
01.12.2008	83494	1	11	4	20,67
01.12.2008	83494	1	15	10	51,67
01.12.2008	83494	1	16	1	5,17
01.12.2008	83494	1	17	2	10,33
01.12.2008	83609	1	14	5	16,48
01.12.2008	83609	1	15	2	6,59
01.12.2008	83609	1	16	10	32,95
01.12.2008	83609	1	19	5	16,48
01.12.2008	84190	1	15	1	73,38
01.12.2008	84190	1	17	1	73,38
01.12.2008	84676	1	11	1	6,63
01.12.2008	84676	1	13	2	13,26
01.12.2008	85406	1	20	1	19,68
