Товар.Код	Товар.Наименование	Товарная группа
35	Адреналина гидрохлорида раствор 0,1% р-р д/ин. 0,1 % амп. 1 мл [с нож.амп.] уп.контурн.яч. 5 Московс	159
354	Андрокур табл. 50 мг фл. 20 кор. 1 Schering-Plough Labo N.V.	178
477	Аспаркам табл. уп.контурн.б/яч. 10 Медисорб	108
485	Аспаркам табл. уп.контурн.б/яч. 10 Усолье-Сибирский ХФК	108
487	Аспаркам табл. уп.контурн.яч. 10 Ай Си Эн Лексредства	108
504	Аспирин табл. 500 мг бл. 10 кор. 2 Bayer C.C.	171
506	Аспирин табл. 100 мг бл. 10 кор. 2 Bayer C.C.	171
598	Ацетилсалициловая кислота табл. 0,5 г уп.контурн.б/яч. 10 Татхимфармпрепараты	171
682	АЦЦ 100 табл.шип. 100 мг туба 20 кор. 1 Hexal AG	38
686	АЦЦ 200 табл.шип. 200 мг туба 20 кор. 1 Hexal AG	38
690	АЦЦ лонг табл.шип. 600 мг туба 10 кор. 1 Hexal AG	38
739	Беродуал р-р д/ингал. фл.-кап. 20 мл кор. 1 Boehringer Ingelheim Italia S.p.A.	161
741	Беродуал Н аэроз.ингал.доз. 200 доз бал.аэроз. 10 мл [с мундшт.] кор. 1 Boehringer Ingelheim Pharma	161
808	Бифидумбактерин пор. для приема внутрь пак.флг.ламин.ПЭ пач.картон. 30 Партнер	295
814	Бифидумбактерин пор. для приема внутрь пак.флг.ламин.ПЭ пач.картон. 10 Партнер	295
828	Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Экополис	33
844	Бифидумбактерин сухой в свечах супп.ваг. уп.контурн.яч. 5 пач.картон. 2 Ланафарм	33
848	Бифидумбактерин форте пор. для приема внутрь пак. пач.картон. 30 Партнер	33
849	Бифидумбактерин форте пор. для приема внутрь пак. пач.картон. 10 Партнер	33
856	Бромокриптин Рихтер табл. 2,5 мг фл. 30 пен. 1 Gedeon Richter	66
1137	Витрум Кальциум + Витамин Д_3 табл.п.о. фл.ПЭ 60 пач.картон. 1 Unipharm	198
1138	Витрум Кальциум + Витамин Д_3 табл.п.о. фл.ПЭ 30 пач.картон. 1 Unipharm	198
1145	Виферон супп.рект. 500000 МЕ уп.контурн.яч. 10 № 2 Ферон	33
1148	Виферон супп.рект. 1000000 МЕ уп.контурн.яч. 10 № 3 Ферон	33
1151	Виферон супп.рект. 150000 МЕ уп.контурн.яч. 10 № 1 Ферон	33
1379	Глюкоза р-р д/ин. 10 % фл.д/кровезам. 200 мл Красфарма	280
1400	Глюкоза р-р д/ин. 5 % фл.д/кровезам. 400 мл Красфарма	280
1422	Глюкозы раствор для инфузий р-р д/ин. 5 % фл.д/кровезам. 400 мл Биосинтез	280
1426	Глюкозы раствор для инфузий р-р д/ин. 10 % фл.д/кровезам. 400 мл Биосинтез	280
1728	Дифенина таблетки 0,117 г табл. 0,117 г уп.контурн.б/яч. 10 Фармакон	289
1813	Дротаверин-Н.С. табл. 40 мг уп.контурн.яч. 10 пач.картон. 5 Щелковский витаминный завод	243
