Код	Дата	ОД, %	Возраст	Проживание	Срок проживания в регионе	Семейное положение	Образование	Стаж работы на последнем месте	Уровень должности	Кредитная история	Просрочки свыше 60 дн.	Тестовое множество
1	02.03.2007	51	26	Муниципальное жилье	менее 1 года	Другое	высшее	менее 1 года	сотрудник	нет данных	1	False
2	02.03.2007	46	32	Собственник	от 1 до 5 лет	Женат/замужем	высшее	свыше 3 лет	сотрудник	положительная	0	False
3	02.03.2007	13	36	Аренда	свыше 5 лет	Холост/Не замужем	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	0	False
4	02.03.2007	48	52	Муниципальное жилье	от 1 до 5 лет	Другое	высшее	менее 1 года	сотрудник	нет данных	1	False
5	02.03.2007	33	30	Собственник	от 1 до 5 лет	Холост/Не замужем	среднее специальное	менее 1 года	сотрудник	нет данных	0	False
6	02.03.2007	30	33	Собственник	менее 1 года	Женат/замужем	среднее специальное	менее 1 года	руководитель среднего звена	отрицательная	1	True
7	02.03.2007	42	27	Собственник	от 1 до 5 лет	Другое	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	0	False
8	02.03.2007	20	47	Муниципальное жилье	менее 1 года	Женат/замужем	среднее специальное	менее 1 года	руководитель высшего звена	нет данных	0	False
9	02.03.2007	36	40	Собственник	от 1 до 5 лет	Женат/замужем	среднее специальное	от 1 года до 3 лет	руководитель высшего звена	положительная	0	False
10	02.03.2007	29	34	Собственник	от 1 до 5 лет	Другое	высшее	менее 1 года	руководитель среднего звена	нет данных	0	False
11	02.03.2007	15	58	Собственник	от 1 до 5 лет	Другое	среднее	от 1 года до 3 лет	сотрудник	отрицательная	1	False
12	02.03.2007	13	31	Собственник	менее 1 года	Другое	высшее	свыше 3 лет	руководитель среднего звена	положительная	0	False
13	02.03.2007	42	42	Муниципальное жилье	свыше 5 лет	Женат/замужем	среднее специальное	свыше 3 лет	руководитель среднего звена	нет данных	0	False
14	02.03.2007	34	40	Собственник	свыше 5 лет	Женат/замужем	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	1	True
15	02.03.2007	26	40	Муниципальное жилье	от 1 до 5 лет	Женат/замужем	среднее специальное	от 1 года до 3 лет	руководитель среднего звена	положительная	0	False
16	02.03.2007	40	32	Муниципальное жилье	от 1 до 5 лет	Холост/Не замужем	высшее	от 1 года до 3 лет	сотрудник	положительная	0	False
17	03.03.2007	34	44	Собственник	менее 1 года	Холост/Не замужем	высшее	свыше 3 лет	сотрудник	нет данных	0	False
18	03.03.2007	18	51	Собственник	менее 1 года	Холост/Не замужем	высшее	менее 1 года	сотрудник	нет данных	0	False
19	03.03.2007	35	41	Собственник	менее 1 года	Холост/Не замужем	среднее	свыше 3 лет	сотрудник	нет данных	0	True
20	03.03.2007	26	29	Муниципальное жилье	свыше 5 лет	Другое	среднее специальное	менее 1 года	руководитель среднего звена	нет данных	0	False
21	03.03.2007	42	24	Собственник	менее 1 года	Холост/Не замужем	среднее специальное	менее 1 года	руководитель среднего звена	отрицательная	0	False
22	03.03.2007	39	25	Собственник	менее 1 года	Другое	высшее	свыше 3 лет	руководитель среднего звена	нет данных	0	False
23	03.03.2007	22	27	Собственник	менее 1 года	Другое	высшее	свыше 3 лет	руководитель высшего звена	нет данных	0	False
24	03.03.2007	24	29	Собственник	менее 1 года	Женат/замужем	высшее	свыше 3 лет	сотрудник	нет данных	0	False
25	03.03.2007	40	28	Собственник	менее 1 года	Разведен(а)/Вдовство	среднее специальное	менее 1 года	сотрудник	нет данных	0	False
26	03.03.2007	26	37	Муниципальное жилье	свыше 5 лет	Холост/Не замужем	высшее	менее 1 года	сотрудник	положительная	0	False
27	03.03.2007	37	25	Муниципальное жилье	от 1 до 5 лет	Женат/замужем	среднее	от 1 года до 3 лет	руководитель среднего звена	нет данных	0	False
28	03.03.2007	34	29	Собственник	от 1 до 5 лет	Разведен(а)/Вдовство	среднее	менее 1 года	сотрудник	положительная	0	False
29	03.03.2007	27	38	Муниципальное жилье	менее 1 года	Женат/замужем	высшее	менее 1 года	сотрудник	положительная	0	False
30	04.03.2007	17	54	Собственник	менее 1 года	Холост/Не замужем	среднее специальное	менее 1 года	руководитель среднего звена	нет данных	0	False
31	04.03.2007	33	29	Собственник	свыше 5 лет	Женат/замужем	высшее	менее 1 года	сотрудник	отрицательная	0	False
32	04.03.2007	27	35	Собственник	менее 1 года	Разведен(а)/Вдовство	среднее	менее 1 года	сотрудник	положительная	0	True
33	04.03.2007	24	40	Собственник	от 1 до 5 лет	Холост/Не замужем	высшее	менее 1 года	сотрудник	нет данных	0	True
34	04.03.2007	24	34	Собственник	менее 1 года	Холост/Не замужем	среднее специальное	менее 1 года	руководитель высшего звена	положительная	0	False
35	04.03.2007	48	38	Собственник	менее 1 года	Женат/замужем	высшее	менее 1 года	сотрудник	нет данных	0	False
36	04.03.2007	24	23	Собственник	свыше 5 лет	Холост/Не замужем	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	0	True
37	04.03.2007	33	39	Аренда	от 1 до 5 лет	Женат/замужем	среднее	свыше 3 лет	сотрудник	положительная	0	True
38	04.03.2007	35	58	Муниципальное жилье	от 1 до 5 лет	Женат/замужем	среднее специальное	свыше 3 лет	сотрудник	нет данных	0	False
39	05.03.2007	34	23	Собственник	менее 1 года	Другое	высшее	менее 1 года	сотрудник	положительная	0	False
40	05.03.2007	47	37	Муниципальное жилье	свыше 5 лет	Разведен(а)/Вдовство	среднее	свыше 3 лет	сотрудник	нет данных	0	False
41	05.03.2007	41	29	Муниципальное жилье	менее 1 года	Женат/замужем	высшее	менее 1 года	сотрудник	нет данных	0	False
42	05.03.2007	42	25	Собственник	свыше 5 лет	Другое	высшее	от 1 года до 3 лет	сотрудник	нет данных	0	True
43	05.03.2007	25	34	Муниципальное жилье	от 1 до 5 лет	Другое	среднее специальное	свыше 3 лет	сотрудник	положительная	0	False
44	05.03.2007	53	39	Собственник	от 1 до 5 лет	Холост/Не замужем	среднее специальное	свыше 3 лет	сотрудник	положительная	0	False
45	05.03.2007	11	30	Собственник	от 1 до 5 лет	Женат/замужем	среднее	от 1 года до 3 лет	руководитель среднего звена	нет данных	0	False
46	05.03.2007	35	32	Собственник	менее 1 года	Холост/Не замужем	среднее специальное	менее 1 года	руководитель высшего звена	нет данных	0	True
47	05.03.2007	31	37	Муниципальное жилье	свыше 5 лет	Холост/Не замужем	среднее специальное	менее 1 года	руководитель среднего звена	нет данных	0	False
48	05.03.2007	45	33	Собственник	свыше 5 лет	Женат/замужем	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	0	False
49	05.03.2007	21	30	Собственник	менее 1 года	Другое	среднее	менее 1 года	сотрудник	нет данных	0	True
50	05.03.2007	53	42	Собственник	менее 1 года	Женат/замужем	среднее специальное	свыше 3 лет	сотрудник	нет данных	0	False
51	05.03.2007	35	24	Муниципальное жилье	менее 1 года	Разведен(а)/Вдовство	высшее	свыше 3 лет	руководитель высшего звена	нет данных	0	False
52	05.03.2007	45	47	Собственник	от 1 до 5 лет	Разведен(а)/Вдовство	среднее	от 1 года до 3 лет	руководитель высшего звена	нет данных	0	True
53	05.03.2007	33	59	Собственник	от 1 до 5 лет	Женат/замужем	среднее	от 1 года до 3 лет	руководитель среднего звена	нет данных	0	True
54	05.03.2007	53	55	Собственник	свыше 5 лет	Женат/замужем	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	0	False
55	05.03.2007	39	35	Собственник	от 1 до 5 лет	Женат/замужем	высшее	менее 1 года	сотрудник	положительная	0	False
56	05.03.2007	17	24	Муниципальное жилье	менее 1 года	Женат/замужем	среднее специальное	свыше 3 лет	сотрудник	нет данных	0	False
57	05.03.2007	33	42	Собственник	менее 1 года	Холост/Не замужем	среднее специальное	менее 1 года	руководитель среднего звена	нет данных	0	False
58	05.03.2007	44	33	Аренда	от 1 до 5 лет	Женат/замужем	среднее	менее 1 года	сотрудник	нет данных	0	False
59	05.03.2007	36	35	Собственник	от 1 до 5 лет	Холост/Не замужем	высшее	от 1 года до 3 лет	руководитель среднего звена	нет данных	0	True
60	05.03.2007	35	30	Собственник	от 1 до 5 лет	Другое	высшее	от 1 года до 3 лет	сотрудник	положительная	0	False
61	05.03.2007	33	41	Собственник	свыше 5 лет	Другое	высшее	от 1 года до 3 лет	сотрудник	отрицательная	0	False
62	05.03.2007	31	55	Собственник	менее 1 года	Разведен(а)/Вдовство	высшее	менее 1 года	сотрудник	нет данных	0	False
63	05.03.2007	33	30	Собственник	менее 1 года	Женат/замужем	высшее	менее 1 года	сотрудник	положительная	0	False
64	05.03.2007	20	35	Собственник	менее 1 года	Женат/замужем	высшее	менее 1 года	сотрудник	нет данных	0	False
65	05.03.2007	36	34	Собственник	свыше 5 лет	Другое	среднее	свыше 3 лет	руководитель среднего звена	отрицательная	0	False
66	05.03.2007	46	43	Собственник	менее 1 года	Холост/Не замужем	высшее	менее 1 года	руководитель среднего звена	отрицательная	0	False
67	05.03.2007	40	24	Собственник	свыше 5 лет	Женат/замужем	среднее специальное	менее 1 года	сотрудник	нет данных	0	True
68	05.03.2007	37	43	Собственник	от 1 до 5 лет	Холост/Не замужем	высшее	от 1 года до 3 лет	сотрудник	нет данных	0	False
69	05.03.2007	37	32	Собственник	свыше 5 лет	Другое	среднее специальное	менее 1 года	руководитель среднего звена	положительная	0	False
70	05.03.2007	20	25	Аренда	свыше 5 лет	Женат/замужем	высшее	от 1 года до 3 лет	руководитель среднего звена	положительная	0	False
71	05.03.2007	21	30	Собственник	от 1 до 5 лет	Холост/Не замужем	среднее специальное	свыше 3 лет	руководитель среднего звена	положительная	0	False
72	05.03.2007	14	28	Собственник	менее 1 года	Холост/Не замужем	высшее	свыше 3 лет	сотрудник	нет данных	0	True
73	05.03.2007	52	40	Аренда	от 1 до 5 лет	Другое	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	0	True
74	05.03.2007	40	28	Собственник	менее 1 года	Холост/Не замужем	высшее	свыше 3 лет	сотрудник	положительная	0	False
75	05.03.2007	17	45	Собственник	от 1 до 5 лет	Другое	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	0	False
76	05.03.2007	23	38	Собственник	от 1 до 5 лет	Другое	высшее	свыше 3 лет	сотрудник	нет данных	0	True
77	05.03.2007	15	37	Собственник	свыше 5 лет	Женат/замужем	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	0	False
78	05.03.2007	36	33	Собственник	от 1 до 5 лет	Холост/Не замужем	среднее специальное	менее 1 года	руководитель среднего звена	нет данных	0	False
79	05.03.2007	45	44	Собственник	менее 1 года	Женат/замужем	среднее специальное	менее 1 года	сотрудник	положительная	0	False
80	05.03.2007	34	44	Собственник	менее 1 года	Другое	высшее	менее 1 года	сотрудник	положительная	0	False
81	05.03.2007	38	29	Муниципальное жилье	менее 1 года	Другое	среднее	свыше 3 лет	сотрудник	нет данных	0	False
82	05.03.2007	30	45	Собственник	менее 1 года	Женат/замужем	среднее специальное	свыше 3 лет	сотрудник	нет данных	0	True
83	05.03.2007	44	30	Собственник	менее 1 года	Женат/замужем	высшее	менее 1 года	руководитель среднего звена	положительная	0	False
84	06.03.2007	41	29	Собственник	от 1 до 5 лет	Другое	среднее	свыше 3 лет	руководитель среднего звена	положительная	0	False
85	06.03.2007	49	34	Муниципальное жилье	менее 1 года	Женат/замужем	высшее	свыше 3 лет	сотрудник	нет данных	0	True
86	06.03.2007	43	38	Муниципальное жилье	менее 1 года	Женат/замужем	среднее специальное	менее 1 года	сотрудник	нет данных	0	False
87	06.03.2007	40	39	Аренда	менее 1 года	Женат/замужем	высшее	свыше 3 лет	сотрудник	нет данных	0	False
88	06.03.2007	36	41	Собственник	менее 1 года	Женат/замужем	среднее специальное	менее 1 года	руководитель среднего звена	нет данных	0	False
89	06.03.2007	31	31	Муниципальное жилье	менее 1 года	Холост/Не замужем	среднее специальное	менее 1 года	сотрудник	положительная	0	False
90	06.03.2007	30	53	Собственник	от 1 до 5 лет	Женат/замужем	высшее	менее 1 года	руководитель высшего звена	положительная	0	False
91	06.03.2007	31	28	Муниципальное жилье	от 1 до 5 лет	Холост/Не замужем	высшее	свыше 3 лет	сотрудник	нет данных	0	False
92	06.03.2007	34	30	Собственник	менее 1 года	Холост/Не замужем	высшее	менее 1 года	руководитель среднего звена	нет данных	0	False
93	06.03.2007	19	44	Муниципальное жилье	менее 1 года	Женат/замужем	среднее специальное	менее 1 года	сотрудник	нет данных	0	False
94	06.03.2007	30	40	Собственник	менее 1 года	Женат/замужем	среднее	свыше 3 лет	руководитель среднего звена	положительная	0	False
95	06.03.2007	47	47	Собственник	от 1 до 5 лет	Другое	среднее	от 1 года до 3 лет	сотрудник	положительная	0	False
96	06.03.2007	40	25	Аренда	менее 1 года	Холост/Не замужем	среднее специальное	менее 1 года	руководитель среднего звена	нет данных	0	False
97	06.03.2007	46	27	Муниципальное жилье	менее 1 года	Женат/замужем	высшее	свыше 3 лет	сотрудник	положительная	0	False
98	06.03.2007	46	42	Собственник	свыше 5 лет	Женат/замужем	среднее специальное	свыше 3 лет	сотрудник	нет данных	0	True
99	06.03.2007	49	30	Собственник	свыше 5 лет	Женат/замужем	среднее	менее 1 года	руководитель среднего звена	нет данных	0	False
100	06.03.2007	32	42	Собственник	от 1 до 5 лет	Другое	среднее специальное	менее 1 года	сотрудник	положительная	0	False
101	06.03.2007	21	43	Собственник	менее 1 года	Холост/Не замужем	высшее	менее 1 года	сотрудник	нет данных	0	False
102	06.03.2007	26	37	Собственник	свыше 5 лет	Холост/Не замужем	среднее	менее 1 года	сотрудник	нет данных	0	False
103	06.03.2007	12	35	Собственник	менее 1 года	Женат/замужем	среднее специальное	менее 1 года	сотрудник	нет данных	0	False
104	06.03.2007	23	29	Аренда	менее 1 года	Женат/замужем	среднее специальное	менее 1 года	руководитель среднего звена	нет данных	0	False
105	06.03.2007	40	29	Собственник	менее 1 года	Женат/замужем	среднее	свыше 3 лет	руководитель среднего звена	положительная	0	False
106	06.03.2007	47	31	Муниципальное жилье	менее 1 года	Холост/Не замужем	среднее	менее 1 года	сотрудник	нет данных	0	False
107	06.03.2007	38	43	Собственник	менее 1 года	Холост/Не замужем	среднее	менее 1 года	руководитель среднего звена	отрицательная	0	False
108	06.03.2007	49	39	Собственник	менее 1 года	Женат/замужем	высшее	менее 1 года	руководитель среднего звена	нет данных	0	False
109	06.03.2007	27	28	Собственник	менее 1 года	Другое	высшее	свыше 3 лет	сотрудник	нет данных	0	True
110	06.03.2007	28	35	Собственник	от 1 до 5 лет	Женат/замужем	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	0	True
111	07.03.2007	22	39	Собственник	свыше 5 лет	Холост/Не замужем	среднее специальное	свыше 3 лет	руководитель среднего звена	положительная	0	False
112	07.03.2007	50	55	Аренда	от 1 до 5 лет	Холост/Не замужем	высшее	от 1 года до 3 лет	руководитель среднего звена	нет данных	1	True
113	07.03.2007	32	47	Собственник	свыше 5 лет	Холост/Не замужем	среднее специальное	от 1 года до 3 лет	руководитель высшего звена	нет данных	0	False
114	07.03.2007	34	36	Муниципальное жилье	от 1 до 5 лет	Другое	среднее	от 1 года до 3 лет	сотрудник	нет данных	0	False
115	07.03.2007	48	30	Аренда	от 1 до 5 лет	Холост/Не замужем	среднее специальное	от 1 года до 3 лет	руководитель среднего звена	нет данных	1	False
116	07.03.2007	37	36	Собственник	менее 1 года	Разведен(а)/Вдовство	среднее	свыше 3 лет	сотрудник	положительная	0	True
117	07.03.2007	32	36	Муниципальное жилье	свыше 5 лет	Холост/Не замужем	высшее	от 1 года до 3 лет	сотрудник	положительная	0	False
118	07.03.2007	53	22	Муниципальное жилье	свыше 5 лет	Другое	высшее	от 1 года до 3 лет	сотрудник	нет данных	0	True
119	07.03.2007	11	40	Муниципальное жилье	от 1 до 5 лет	Женат/замужем	высшее	от 1 года до 3 лет	сотрудник	нет данных	0	False
120	07.03.2007	35	22	Собственник	менее 1 года	Другое	высшее	свыше 3 лет	руководитель среднего звена	нет данных	0	False
121	07.03.2007	22	42	Собственник	свыше 5 лет	Женат/замужем	среднее	менее 1 года	сотрудник	положительная	0	False
122	07.03.2007	18	43	Муниципальное жилье	свыше 5 лет	Женат/замужем	высшее	от 1 года до 3 лет	сотрудник	нет данных	0	False
123	07.03.2007	25	29	Собственник	от 1 до 5 лет	Разведен(а)/Вдовство	высшее	от 1 года до 3 лет	сотрудник	отрицательная	1	False
124	07.03.2007	30	56	Собственник	свыше 5 лет	Холост/Не замужем	среднее	свыше 3 лет	сотрудник	нет данных	0	False
125	07.03.2007	42	34	Аренда	свыше 5 лет	Холост/Не замужем	высшее	свыше 3 лет	сотрудник	нет данных	0	False
