Код клиента	Возраст	Пол	Сколько лет клиент	Количество позиций товаров	Доход с клиента, тыс. ед.	Общее число покупок	Обращений в службу поддержки	Задержки платежей	Дисконтная карта	Дата отклика	Отклик
7	19	мужской	0	1	13,36	1	1	1	0		0
13	44	мужской	2	1	13,45	1	0	1	0		0
15	45	женский	3	2	13,45	1	0	1	0		0
23	42	женский	2	1	13,45	1	0	1	0		0
24	39	женский	3	1	13,45	3	0	1	0		0
30	23	женский	3	1	13,45	1	0	1	0		0
33	24	мужской	0	1	13,45	1	0	1	0		0
42	35	мужской	2	1	13,45	1	0	1	0		0
52	43	мужской	4	1	14,12	1	3	1	0		0
57	51	мужской	3	1	14,84	1	3	1	0		0
75	30	женский	2	1	14,84	1	3	1	0		0
82	32	мужской	4	2	14,78	1	6	1	0		0
89	46	мужской	1	2	14,78	1	6	1	0		0
90	70	женский	3	2	14,78	2	6	1	0		0
95	39	мужской	2	4	14,78	3	6	1	0	19.07.2006	1
96	38	мужской	0	1	14,78	1	6	1	0		0
105	31	женский	2	1	14,78	1	6	1	0		0
106	36	женский	0	1	14,78	1	6	1	0		0
112	50	женский	0	1	14,97	1	4	1	0		0
132	38	женский	3	5	15,51	4	5	1	0		0
139	38	мужской	2	1	15,53	1	1	1	0		0
147	37	мужской	2	1	15,56	1	1	1	0		0
155	42	женский	0	1	15,56	1	1	1	0		0
156	34	мужской	3	1	15,56	1	1	1	0		0
161	54	мужской	4	2	15,58	1	4	1	0		0
162	31	мужской	1	3	15,58	2	4	1	0		0
164	35	женский	0	1	15,58	1	4	1	0		0
187	40	мужской	4	1	16,27	1	2	1	0		0
191	24	женский	2	1	16,29	1	1	1	0		0
193	40	женский	4	1	16,29	1	1	1	0		0
203	46	женский	3	1	16,35	1	4	1	0		0
204	18	женский	2	5	16,35	5	4	1	0		0
210	42	женский	4	3	16,96	2	2	1	0		0
218	45	женский	0	1	17,17	1	0	1	0		0
222	29	мужской	3	1	17,2	1	0	1	0		0
224	34	женский	0	1	17,2	1	0	1	0		0
228	67	мужской	4	4	17,42	2	3	1	0		0
234	29	женский	2	1	17,57	1	3	1	0		0
237	38	мужской	1	1	17,79	1	1	1	0		0
250	41	мужской	1	4	17,79	2	1	1	0		0
255	28	мужской	2	1	17,79	1	1	1	0		0
259	34	женский	2	1	17,79	1	1	1	0		0
260	47	женский	2	1	17,79	1	1	1	0		0
265	50	мужской	3	1	17,79	1	1	1	0		0
271	24	женский	4	3	17,75	2	2	1	1		0
289	50	мужской	2	4	17,77	3	3	1	0		0
290	45	женский	1	4	17,77	2	3	1	0		0
295	50	женский	1	3	17,77	2	3	1	0		0
298	37	мужской	1	4	17,77	1	3	1	0		0
301	46	мужской	4	4	17,77	3	3	1	0	22.07.2006	1
53200	40	женский	1	5	51,94	9	2	1	0		0
53203	27	мужской	2	1	51,88	1	1	1	0		0
53214	43	мужской	2	3	51,86	2	2	1	0		0
53226	43	мужской	1	1	51,93	1	3	1	0		0
53237	44	мужской	0	1	51,92	1	5	1	0		0
53251	47	женский	2	1	51,93	1	4	1	0		0
53257	44	женский	1	1	51,91	1	5	1	0		0
53263	60	мужской	2	1	51,85	6	2	1	0		0
53272	33	женский	3	1	51,88	1	3	1	0		0
53290	53	мужской	3	1	51,93	1	2	1	0		0
53300	38	мужской	3	1	51,87	1	1	1	0		0
53302	50	женский	2	1	51,91	1	2	1	0		0
53320	34	женский	4	1	51,95	1	3	1	0		0
53335	45	мужской	2	1	51,91	1	6	1	0		0
53342	52	мужской	0	1	51,92	1	6	1	0		0
53351	42	женский	3	1	51,93	1	1	1	0		0
53357	59	мужской	3	3	51,91	3	1	1	0		0
53358	20	мужской	3	1	51,93	1	3	1	0		0
53379	45	женский	0	2	51,94	1	0	1	0		0
53382	32	мужской	3	1	51,89	1	0	1	0		0
53384	30	женский	4	4	51,93	1	3	1	0		0
53388	42	женский	4	3	51,91	2	8	1	0		0
53390	49	женский	3	3	51,89	1	3	1	0		0
53392	48	мужской	3	4	51,86	27	4	1	0	01.07.2006	1
53403	32	мужской	4	1	51,95	1	2	1	0		0
53415	50	женский	2	1	51,9	1	8	1	0		0
53417	53	женский	3	1	51,89	1	2	1	0		0
53434	41	женский	0	1	51,93	1	1	1	0		0
53435	27	мужской	0	1	51,93	1	1	1	0		0
53437	45	мужской	1	3	51,89	2	4	1	0		0
53451	42	женский	4	1	51,92	1	2	1	0		0
53453	46	мужской	2	2	51,89	1	0	1	0		0
53454	47	мужской	4	5	51,93	3	3	1	0		0
53456	36	мужской	4	1	51,93	1	3	1	0		0
53457	31	мужской	3	1	51,87	1	2	1	0		0
53458	22	мужской	2	5	51,95	2	1	1	0		0
53482	40	женский	1	1	51,85	1	5	1	0		0
53494	46	женский	0	1	51,91	1	3	1	0		0
53502	22	женский	2	1	51,94	1	0	1	0		0
53503	74	мужской	2	1	51,92	1	1	1	0		0
53516	32	женский	2	1	51,95	1	3	1	0		0
53523	41	женский	1	4	51,92	2	1	1	0		0
53524	41	женский	3	2	51,92	1	1	1	0		0
53528	44	женский	4	1	51,88	1	2	1	0		0
53536	52	женский	2	6	51,87	3	2	1	0		0
53544	49	мужской	3	1	51,92	1	2	1	0		0
53549	29	женский	0	1	51,92	1	3	1	0		0
53552	20	мужской	4	1	51,85	1	1	1	0		0
53556	29	мужской	1	4	51,88	2	1	1	0		0
53573	34	мужской	0	2	51,98	1	1	1	0		0
53580	31	женский	0	1	51,98	1	3	1	0		0
53589	34	женский	3	2	52	1	3	1	0	06.07.2006	1
53590	28	женский	2	1	52,02	1	1	1	0		0
53601	16	женский	0	1	51,97	1	3	1	0		0
53621	27	мужской	4	1	51,98	1	3	1	0		0
53635	39	мужской	1	4	51,99	3	2	1	0		0
53640	40	мужской	3	2	52,03	2	0	1	0		0
53649	40	мужской	0	1	51,98	1	2	1	0		0
53652	42	женский	1	1	52,14	1	0	1	0		0
53666	35	женский	0	1	52,17	1	1	1	0		0
53689	52	мужской	2	1	52,17	1	5	1	0		0
53692	55	женский	0	1	52,19	1	1	1	0		0
53697	50	мужской	1	6	52,18	3	1	1	0		0
53705	42	мужской	3	1	52,21	1	1	1	0		0
53709	50	женский	4	1	52,18	1	2	1	0		0
53714	38	мужской	2	3	52,23	1	4	1	0		0
53723	45	мужской	3	3	52,19	2	0	1	0		0
53726	58	женский	1	1	52,18	1	4	1	0		0
53727	34	женский	3	1	52,18	1	4	1	0		0
53748	38	женский	0	1	52,25	1	2	1	0		0
53751	50	женский	0	1	52,24	1	1	1	0		0
53756	78	женский	3	1	52,22	1	0	1	1		0
53770	29	мужской	2	1	52,18	1	4	1	0		0
53776	59	мужской	1	1	52,17	1	1	1	0		0
53782	38	мужской	3	3	52,24	2	2	1	0		0
53790	37	женский	1	1	52,25	1	2	1	0		0
53796	60	мужской	2	3	52,25	2	1	1	0		0
53797	48	женский	2	6	52,23	13	0	1	0		0
53798	36	мужской	0	1	52,22	1	2	1	0		0
53800	40	женский	0	1	52,17	1	0	1	0		0
53801	44	женский	0	1	52,25	1	3	1	0		0
